0,0,0,[],[],[],[8]
2,1,1,[9],[7],[],[]
3,2,1,[8],[],[],[4]
4,3,1,[3],[],[],[9]
5,5,2,"[8, 9]",[],[],"[8, 9]"
8,10,2,"[5, 0]",[3],[],"[3, 5]"
9,10,2,"[5, 4]",[4],[],"[2, 5]"
"[3, 4]"
