0,13,1,1, , ,
1,17,4,"2,3", , ,"0,5,6"
2,15,1, , , ,1
3,19,1, , , ,1
4,11,1,"5,6",,,
5,5,1,1,,,4
6,5,1,1,,,4
4,2,,,,,
